NAME,ADDRESS1,CITY,STATE,ZIPCODE,COUNTRY,LAT,LON,PHONE
Brightwood Hills Golf Course,1975 Silver Lake Rd NW,New Brighton,MN,55112,USA,45.0755,-93.1911,(651) 638-2150
New Hope Village Golf Course,8130 Bass Lake Rd,New Hope,MN,55428,USA,45.0617,-93.3804,(612) 531-5178
Creek's Bend Golf Course,26826 Langford Ave,New Prague,MN,56071,USA,44.5257,-93.5843,(612) 758-7200
New Prague Golf Club,400 Lexington Ave S,New Prague,MN,56071,USA,44.5257,-93.5843,(612) 758-3126
Riverview Golf Course,2nd St SE,New Richland,MN,56072,USA,43.9204,-93.5068,(507) 465-3516
New Ulm Country Club,1 Golf Dr,New Ulm,MN,56073,USA,44.2563,-94.471,(507) 359-4410
Birch Bay Resort & Golf Course,1646 S Agate Shore Dr SW,Nisswa,MN,56468,USA,46.5121,-94.2802,(800) 450-4481
Fritiz's Resort & Golf Course,942 Minnesota 371,Nisswa,MN,56468,USA,46.5121,-94.2802,(218) 568-8988
"Pines at Grand View Lodge, The (Deacon's Lodge Course at Pines at rand View Lodge, The)",23521 Nokomis Ave,Nisswa,MN,56468,USA,46.5121,-94.2802,(218) 963-0001
"Preserve, The","The Pines at Grand View Lodge Golf Course, Nokomis Ave",Nisswa,MN,56468,USA,46.5121,-94.2802,(218) 568-4944
North Branch Golf Course,30 County Road 18,North Branch,MN,55056,USA,45.5343,-92.8964,(651) 674-9989
North Links Golf Course,N 2nd St,Mankato,MN,56003,USA,44.2162,-94.0706,(507) 947-3355
North Oaks Golf Club,54 E Oaks Rd,North Oaks,MN,55127,USA,45.0841,-93.0819,(651) 484-6311
Northfield Golf Club,707 Prairie St,Northfield,MN,55057,USA,44.4726,-93.1785,(507) 645-4026
Willinger's Golf Club,6900 Canby Trail,Northfield,MN,55057,USA,44.4726,-93.1785,(952) 440-7000
Oak Marsh Golf Course,526 Inwood Ave N,Oakdale,MN,55128,USA,44.9915,-92.9659,(651) 730-8886
Oakdale Par 3,5585 Golfview Ave N,Oakdale,MN,55128,USA,44.9915,-92.9659,(651) 773-3494
Olivia Golf Club,512 S 6th St,Olivia,MN,56277,USA,44.7609,-94.9384,(320) 523-2313
Izatys Golf & Yacht Club (Black Brook Course at Izatys Golf & Yacht Club),40005 85th Ave,Onamia,MN,56359,USA,46.0333,-93.681,(320) 532-3101
Lakeview Golf Course,409 N Arm Dr,Orono,MN,55364,USA,44.9465,-93.6803,(612) 472-3459
Ortonville Golf Club,Golf Course Rd,Ortonville,MN,56278,USA,45.4094,-96.5312,(320) 839-3606
Osakis Country Club,Minnesota 27,Osakis,MN,56360,USA,45.8878,-95.094,(320) 859-2140
Thumper Pond Golf Course,1 Thumper Lodge Rd,Ottertail,MN,56571,USA,46.4112,-95.5134,(218) 367-2000
Brooktree Golf Course,1369 Cherry St,Owatonna,MN,55060,USA,44.0575,-93.2082,(507) 444-2467
Havana Hills Par 3 Golf,Rural Route 4,Owatonna,MN,55060,USA,44.0575,-93.2082,(507) 451-2577
Hidden Creek Golf Course,4989 E Rose St,Owatonna,MN,55060,USA,44.0575,-93.2082,(507) 444-9229
Owatonna Country Club,Lemond Rd,Owatonna,MN,55060,USA,44.0575,-93.2082,(507) 451-6120
Brookside Resort,County Highway 50,Park Rapids,MN,56470,USA,46.9966,-95.0029,(218) 732-4093
Eagle View Golf Course,24988 U.S. 71,Park Rapids,MN,56470,USA,46.9966,-95.0029,(218) 732-7102
Headwaters Golf & Country Club,Township Road 1,Park Rapids,MN,56470,USA,46.9966,-95.0029,(218) 732-4832
Koronis Hills Golf Club,Hwy 23 W,Paynesville,MN,56362,USA,45.4234,-94.7147,(320) 243-4111
Birchwood Golf Course,Golf Course Rd,Pelican Rapids,MN,56572,USA,46.6222,-96.0745,(218) 863-6486
Lida Greens Golf Course,Minnesota 108,Pelican Rapids,MN,56572,USA,46.6222,-96.0745,(218) 863-1531
Rolling Hills Golf Course,County Rd 9 Route 2,Pelican Rapids,MN,56572,USA,46.6222,-96.0745,(218) 532-2214
Swan Lake Country Club,65 Old Highway 169,Nashwauk,MN,55769,USA,47.5025,-93.3734,(218) 885-3543
Lakes Area Golf Learning Center,8906 County Road 16,Pequot Lakes,MN,56472,USA,46.6832,-94.2515,(218) 543-4123
Whitefish Golf Club,Route 1 County Rd 16,Pequot Lakes,MN,56472,USA,46.6832,-94.2515,(218) 543-4900
Perham Lakeside Country Club (Maple/Oak Course at Perham Lakeside Country Club),450th St,Perham,MN,56573,USA,46.628,-95.6018,(218) 346-6070
Pierz Municipal Golf Course,603 Park Ave SE,Pierz,MN,56364,USA,46.0261,-94.0607,(320) 468-2662
Pine City Country Club,4th Ave SW,Pine City,MN,55063,USA,45.8356,-92.9649,(320) 629-3848
Pine Island Golf Course,2000 8th St SE,Pine Island,MN,55963,USA,44.235,-92.6722,(507) 356-8252
Driftwood Resort,County Road 15,Pine River,MN,56474,USA,46.6535,-94.5389,(218) 568-4221
Irish Hills Golf Course,1st St,Pine River,MN,56474,USA,46.6535,-94.5389,(218) 587-2300
Pine River Country Club,2370 28th Ave SW,Pine River,MN,56474,USA,46.6535,-94.5389,(218) 587-4774
Pipestone Country Club,8th Ave SE,Pipestone,MN,56164,USA,44.066,-96.3302,(507) 825-2592
Piper Hills Golf Course,Minnesota 42,Plainview,MN,55964,USA,44.1504,-92.1407,(507) 534-2613
Elm Creek Golf Links of Plymouth,18940 Minnesota 55,Plymouth,MN,55446,USA,45.0453,-93.4868,(612) 478-6716
Hampton Hills Golf Club,5313 Juneau Ln N,Plymouth,MN,55446,USA,45.0453,-93.4868,(612) 559-9800
Hollydale Golf Club,4710 Holly Ln N,Plymouth,MN,55446,USA,45.0453,-93.4868,(763) 559-9847
Preston Golf Club,Minnesota 16,Preston,MN,55965,USA,43.6343,-92.1426,(507) 765-4485
Princeton Golf Club,"Princeton Golf Club Grill &amp; Br, 301 Golf Course Rd",Princeton,MN,55371,USA,45.6019,-93.6306,(800) 882-0698
Cleary Lake Park Golf Course,18106 Texas Ave,Prior Lake,MN,55372,USA,44.6768,-93.4069,(612) 447-2171
Lone Pine Country Club,82 County Road 14,Chanhassen,MN,55317,USA,44.8569,-93.5486,(612) 445-3575
"Wilds Golf Club, The",3151 Wilds Ridge Ct NW,Prior Lake,MN,55372,USA,44.6768,-93.4069,(952) 445-3500
Proctor Golf Course,Hwy 2,Proctor,MN,55810,USA,46.7582,-92.2733,(218) 624-2255
Links at Northfork,9333 153rd Ln NW,Ramsey,MN,55303,USA,45.2924,-93.4325,(763) 241-0506
Rum River Hills Golf Club,16659 St Francis Blvd,Ramsey,MN,55303,USA,45.2924,-93.4325,(612) 753-3339
Hawk Creek Country Club,100 Spicer Ave,Raymond,MN,56282,USA,45.0362,-95.1856,(320) 967-4653
Oak Knolls Golf Club,Minnesota 32,Red Lake Falls,MN,56750,USA,47.8717,-96.2666,(218) 253-4423
Mississippi National Golf Links (Highlands Course at Mississippi National Golf Links),409 Golf Links Dr,Red Wing,MN,55066,USA,44.5193,-92.5587,(651) 388-1874
Red Wing Country Club,1311 W 6th St,Red Wing,MN,55066,USA,44.5193,-92.5587,(651) 388-9524
Redwood Falls Golf Club,101 Oak St,Redwood Falls,MN,56283,USA,44.4995,-95.1064,(507) 637-8901
Stoney Creek Golf Course,820th Ave,Renville,MN,56284,USA,44.7726,-95.1749,(320) 329-8400
Oak Hill Golf Club,9000 U.S. 10,Rice,MN,56367,USA,45.7694,-94.1496,(320) 259-8969
Eastwood Golf Club,3505 Eastwood Rd SE,Rochester,MN,55904,USA,43.9943,-92.3828,(507) 281-6173
Maple Valley Golf & Country Club,8600 Maple Valley Rd SE,Rochester,MN,55904,USA,43.9943,-92.3828,(507) 285-9100
Meadow Lakes Golf Club,70 45th Ave SW,Rochester,MN,55902,USA,43.9768,-92.5101,(507) 285-1190
Northern Hills Golf Club,4805 41st Ave NW,Rochester,MN,55901,USA,44.0689,-92.5088,(507) 281-6170
Oak Summit Golf Course,2751 County Road 16 SW,Rochester,MN,55902,USA,43.9768,-92.5101,(507) 252-1808
Rochester Golf & Country Club,3100 Country Club Rd SW,Rochester,MN,55902,USA,43.9768,-92.5101,(507) 282-3170
Soldiers Memorial Field Golf Course,244 Soldiers Field Dr SW,Rochester,MN,55902,USA,43.9768,-92.5101,(507) 281-6176
Willow Creek Golf Course,1700 48th St SW,Rochester,MN,55902,USA,43.9768,-92.5101,(507) 285-0305
Pheasant Run Golf Club,10705 County Road 116,Rogers,MN,55374,USA,45.1744,-93.5822,(612) 428-8244
Oak Crest Golf Club,5th St SE,Roseau,MN,56751,USA,48.7499,-95.6399,(218) 463-3016
Rich Valley Golf Club (Red & Blue Course at Rich Valley Golf Club),3855 145th St E,Rosemount,MN,55068,USA,44.733,-93.0593,(651) 437-4653
Roseville Cedarholm Golf Course,2323 Hamline Ave N,Roseville,MN,55113,USA,45.0123,-93.1559,(651) 415-2166
Ferndale Country Club,County Highway 2,Rushford,MN,55971,USA,43.8851,-91.7705,(507) 864-7626
Angushire Golf Course (Par 3 Course at Angushire Golf Course),224 Waite Ave S,St Cloud,MN,56387,USA,45.5528,-94.2338,(320) 251-9619
Boulder Ridge Golf Club,2750 County Road 74,St Cloud,MN,56301,USA,45.4891,-94.2456,(320) 259-7944
Veterans Golf Club,5001 8th St N,St Cloud,MN,56303,USA,45.6246,-94.2274,(320) 255-7273
St. James Country Club,Minnesota 60,St James,MN,56081,USA,43.9911,-94.6111,(507) 375-7484
Como Golf Course,1431 Lexington Pkwy N,St Paul,MN,55117,USA,44.9981,-93.0983,(651) 488-9673
Fort Snelling Golf Course,"SuperShuttle Minneapolis/St. Paul, 4500 Glumack Dr. #1300",Minneapolis,MN,55111,USA,44.8695,-93.2126,(612) 726-6222
Highland Nine Golf Course,1797 Edgcumbe Rd,St Paul,MN,55116,USA,44.912,-93.1709,(651) 695-3708
Highland Park Eighteen Golf Course,1403 Montreal Ave,St Paul,MN,55116,USA,44.912,-93.1709,(651) 695-3774
Hillcrest Country Club,2200 Larpenteur Ave E,St Paul,MN,55109,USA,45.0145,-93.0259,(651) 771-1515
Keller Golf Course,2166 Maplewood Dr,St Paul,MN,55109,USA,45.0145,-93.0259,(651) 484-3011
Lost Spur Country Club,2750 Sibley Memorial Hwy,St Paul,MN,55121,USA,44.8461,-93.157,(651) 454-5681
Midland Hills Country Club,2001 Fulham St,St Paul,MN,55113,USA,45.0123,-93.1559,(651) 631-2017
Phalen Park Golf Course,1615 Phalen Dr,St Paul,MN,55106,USA,44.9596,-93.0469,(651) 778-0413
Town & Country Club,300 N Mississippi River Blvd,St Paul,MN,55104,USA,44.9545,-93.1622,(651) 646-7121
Shoreland Country Club,County Road 21,St Peter,MN,56082,USA,44.3784,-94.0784,(507) 931-3470
Farmers Golf & Health Club,County Road 15,Sanborn,MN,56083,USA,44.2313,-95.1391,(507) 648-3629
Sandstone Area Country Club,343 Lark St,Sandstone,MN,55072,USA,46.138,-92.5611,(320) 245-0471
Wapicada Golf Club,4448 15th St Ne,Sauk Rapids,MN,56379,USA,45.6355,-94.0842,(320) 251-7804
Sartell Golf Club,35103 Pine Cone Rd N,Sartell,MN,56377,USA,45.6191,-94.2139,(320) 259-0551
"Lynx National Golf Course, The",40204 Primrose Ln,Sauk Centre,MN,56378,USA,45.7042,-95.0184,(320) 352-0243
Sauk Centre Country Club,Lake Shore Dr,Sauk Centre,MN,56378,USA,45.7042,-95.0184,(320) 352-3860
Stonebrooke Golf Club,2693 County Road 79,Shakopee,MN,55379,USA,44.7514,-93.5146,(612) 496-3171
Fox Lake Golf Club,Fox Lake Refuge,Sherburn,MN,56171,USA,43.6721,-94.737,(507) 764-8381
Island Lake Golf & Training Center,1000 Red Fox Rd,Shoreview,MN,55126,USA,45.0848,-93.136,(651) 787-0383
Minnetonka Country Club,24575 Smithtown Rd,Shorewood,MN,55331,USA,44.8924,-93.5895,(952) 474-9571
Silver Bay Country Club,Edison Blvd,Silver Bay,MN,55614,USA,47.3801,-91.2964,(218) 226-3111
Slayton Country Club,E 2nd Ave,Hadley,MN,56151,USA,44.0326,-95.9478,(507) 836-8154
Sleepy Eye Golf Club,Us Highway 14,Sleepy Eye,MN,56085,USA,44.2501,-94.7374,(507) 794-5249
Little Crow Country Club (Oaks Course at Little Crow Country Club),Minnesota 23,Spicer,MN,56288,USA,45.245,-94.9496,(320) 354-2296
Root River Country Club,Rural Route 1,Spring Valley,MN,55975,USA,43.662,-92.3356,(507) 346-2501
Springfield Golf Club,S O'Connell Ave,Springfield,MN,56087,USA,44.204,-94.9908,(507) 723-5888
St. Charles Golf Club,1920 Gladiola Dr,St Charles,MN,55972,USA,43.9334,-92.0195,(507) 932-5444
Fairways Golf Club of St. Cloud (Par 3 Short Course at Fairways Golf Club of St. Cloud),480 55th Ave SE,St Cloud,MN,56304,USA,45.5277,-94.05,(320) 258-4653
St. Cloud Country Club,301 Montrose Rd,St Cloud,MN,56301,USA,45.4891,-94.2456,(320) 253-1333
Fox Hollow Golf Club,4780 Palmgren Ln NE,St Michael,MN,55376,USA,45.1957,-93.7002,(612) 428-4468
Falcon Ridge Golf Course (Executive Nine Course at Falcon Ridge Golf Course),33942 Falcon Ave,Stacy,MN,55079,USA,45.406,-93.0079,(651) 462-5797
Grandy Nine Golf Club,1118 361st Ave NE,Stanchfield,MN,55080,USA,45.6667,-93.2669,(612) 689-1417
"Vintage at Staples, The",County Road 30,Staples,MN,56479,USA,46.4416,-94.6389,(218) 894-9907
Riverside Golf Club,613 Golf Terrace,Stephen,MN,56757,USA,48.457,-96.8952,(218) 478-2735
Maplebrook Golf Course,701 1st St E,Stewartville,MN,55976,USA,43.8884,-92.383,(507) 533-9526
Riverview Greens,1801 1st Ave NE,Stewartville,MN,55976,USA,43.8884,-92.383,(507) 533-9393
Applewood Hills Golf Course,11840 60th St N,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 439-7276
Indian Hills Golf Course,6667 Keats Ave N,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 770-2366
Oak Glen Country Club (Eighteen Course at Oak Glen Country Club),1599 McKusick Rd N,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 439-6963
Sawmill Golf Club,11177 McKusick Rd N,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 439-7862
Stillwater Country Club,1421 4th St N,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 439-7992
StoneRidge Golf Club,13600 N Hudson Blvd,Stillwater,MN,55082,USA,45.0713,-92.8375,(651) 436-4653
"Thief River Falls Golf Club, The",Minnesota 32,Thief River Falls,MN,56701,USA,48.0818,-96.1186,(218) 681-2955
The Wilderness at Fortune Bay,1450 Bois Forte Rd,Tower,MN,55790,USA,47.7992,-92.3042,(800) 992-4680
Tracy Country Club,County Highway 14,Tracy,MN,56175,USA,44.2253,-95.6512,(507) 629-4666
Lakeview Municipal Golf Course,1349 Minnesota 61,Two Harbors,MN,55616,USA,47.1675,-91.616,(218) 834-2664
Tyler Community Golf Club,County Road 7,Tyler,MN,56178,USA,44.2932,-96.1214,(507) 247-3242
Deer Run Golf Club,8661 Deer Run Dr,Victoria,MN,55386,USA,44.8628,-93.6617,(612) 443-2351
Virginia Golf Course,9th St N,Virginia,MN,55792,USA,47.6048,-92.4535,(218) 748-7530
Coffee Mill Golf & Country Club,215 Skyline Dr,Wabasha,MN,55981,USA,44.3588,-92.0742,(651) 565-4332
Island View Golf Club,9150 Island View Rd,Waconia,MN,55387,USA,44.8587,-93.7796,(612) 442-6116
Wadena Golf Club,U.S. 71,Wadena,MN,56482,USA,46.4558,-95.094,(218) 631-7718
Long Bow Golf Club,6516 Long Bow Trail NW,Walker,MN,56484,USA,47.0507,-94.6083,(218) 547-4121
Tianna Country Club,Minnesota 34,Walker,MN,56484,USA,47.0507,-94.6083,(218) 547-1712
Wedgewood Golf Course,Hist County Road 73,Walker,MN,56484,USA,47.0507,-94.6083,(218) 547-2666
Riverside Golf Club,S Main St,Warren,MN,56762,USA,48.2512,-96.7287,(218) 745-4028
Warroad Estates Golf Course,201 Birch Dr N,Warroad,MN,56763,USA,48.9041,-95.4042,(218) 386-2025
Waseca Lakeside Golf Club,37160 Clear Lake Dr,Waseca,MN,56093,USA,44.0806,-93.5062,(507) 835-2574
River's Edge Country Club,1455 County Road 27,Watertown,MN,55388,USA,44.941,-93.8517,(612) 955-2223
Timber Creek Golf Course,9750 County Road 24,Watertown,MN,55388,USA,44.941,-93.8517,(612) 955-3600
Wayzata Country Club,200 Wayzata Blvd W,Wayzata,MN,55391,USA,44.9781,-93.5263,(612) 475-9769
Woodhill Country Club,200 Woodhill Rd,Wayzata,MN,55391,USA,44.9781,-93.5263,(612) 473-5024
Wells Golf Club,1st Ave SW,Wells,MN,56097,USA,43.7464,-93.7488,(507) 553-3313
Southview Country Club,239 E Mendota Rd,West St Paul,MN,55118,USA,44.8976,-93.103,(651) 451-6856
Thompson Oaks Golf Course,1555 Oakdale Ave,West St Paul,MN,55118,USA,44.8976,-93.103,(651) 457-6064
Rolling Hills Golf Club,9 1/2 St,Westbrook,MN,56183,USA,44.1101,-95.4024,(507) 274-5166
Wheaton Country Club,Hwy 27 W,Wheaton,MN,56296,USA,45.8243,-96.4432,(320) 563-4079
Gem Lake Hills Golf Course,4039 Scheuneman Rd,St Paul,MN,55110,USA,45.0958,-93.0043,(651) 429-8715
Manitou Ridge Golf Club,3200 McKnight Rd N,White Bear Lake,MN,55110,USA,45.0958,-93.0043,(651) 777-2987
Oneka Ridge Golf Course,5610 120th St N,St Paul,MN,55110,USA,45.0958,-93.0043,(651) 429-2390
Eagle Creek Golf Club,1000 26th Ave NE,Willmar,MN,56201,USA,45.1041,-95.0465,(320) 235-1166
Valley Golf Course,1900 Becker Ave SE,Willmar,MN,56201,USA,45.1041,-95.0465,(320) 235-6790
Windom Country Club,County Road 13,Windom,MN,56101,USA,43.9264,-95.2282,(507) 831-3489
Riverside Town & Country Club,36259 150th St,Winnebago,MN,56098,USA,43.8036,-94.1433,(507) 526-2764
Cedar Valley Golf Course (Grn Monster/Treasure isl Course at Cedar Valley Golf Course),County Road 9,Winona,MN,55987,USA,43.9823,-91.6349,(507) 457-3241
Westfield Golf Club,1460 W 5th St,Winona,MN,55987,USA,43.9823,-91.6349,(507) 452-6901
Winona Country Club,Pleasant Valley Rd,Winona,MN,55987,USA,43.9823,-91.6349,(507) 452-3535
Winthrop Golf Club,County Highway 15,Winthrop,MN,55396,USA,44.5435,-94.3723,(507) 647-5828
Eagle Valley Golf Course,2600 Double Eagle Ln,Woodbury,MN,55129,USA,44.8929,-92.9083,(651) 714-3750
Prestwick Golf Club at Wedgewood,9555 Wedgewood Dr,Woodbury,MN,55125,USA,44.9197,-92.9392,(651) 731-4779
Prairie View Golf Links,State Highway 266,Rushmore,MN,56168,USA,43.6306,-95.7542,(507) 372-8670
Worthington Country Club,1414 Liberty Dr,Worthington,MN,56187,USA,43.698,-95.6043,(507) 376-4281
